代號,公司名稱,原產業別代號,原產業類別,新產業別代碼,新產業類別,備註
8078,華寶通訊,13,電子工業,27,通信網路業,配合新制重分類
8101,華冠通訊,13,電子工業,27,通信網路業,配合新制重分類
1471,首利實業,13,電子工業,28,電子零組件業,配合新制重分類
2308,台達電子,13,電子工業,28,電子零組件業,配合新制重分類
2313,華通電腦,13,電子工業,28,電子零組件業,配合新制重分類
2316,楠梓電子,13,電子工業,28,電子零組件業,配合新制重分類
2327,國巨,13,電子工業,28,電子零組件業,配合新制重分類
2328,廣宇,13,電子工業,28,電子零組件業,配合新制重分類
2355,敬鵬工業,13,電子工業,28,電子零組件業,配合新制重分類
2367,燿華電子,13,電子工業,28,電子零組件業,配合新制重分類
2368,金像電子,13,電子工業,28,電子零組件業,配合新制重分類
2375,智寶電子,13,電子工業,28,電子零組件業,配合新制重分類
2383,台光電子,13,電子工業,28,電子零組件業,配合新制重分類
2392,正崴精密,13,電子工業,28,電子零組件業,配合新制重分類
2413,環隆科技,13,電子工業,28,電子零組件業,配合新制重分類
2415,錩新科技,13,電子工業,28,電子零組件業,配合新制重分類
2420,新巨企業,13,電子工業,28,電子零組件業,配合新制重分類
2421,建準工業,13,電子工業,28,電子零組件業,配合新制重分類
2428,興勤電子,13,電子工業,28,電子零組件業,配合新制重分類
2429,永兆精密,13,電子工業,28,電子零組件業,配合新制重分類
2431,聯昌電子,13,電子工業,28,電子零組件業,配合新制重分類
2437,旺詮,13,電子工業,28,電子零組件業,配合新制重分類
2440,太空梭科技,13,電子工業,28,電子零組件業,配合新制重分類
2452,乾坤科技,13,電子工業,28,電子零組件業,配合新制重分類
2456,奇力新電子,13,電子工業,28,電子零組件業,配合新制重分類
2457,飛宏企業,13,電子工業,28,電子零組件業,配合新制重分類
2460,建通精密,13,電子工業,28,電子零組件業,配合新制重分類
2462,台灣良得,13,電子工業,28,電子零組件業,配合新制重分類
2467,志聖工業,13,電子工業,28,電子零組件業,配合新制重分類
2469,力信興業,13,電子工業,28,電子零組件業,配合新制重分類
2472,立隆電子,13,電子工業,28,電子零組件業,配合新制重分類
2476,鉅祥企業,13,電子工業,28,電子零組件業,配合新制重分類
2478,大毅科技,13,電子工業,28,電子零組件業,配合新制重分類
2483,百容電子,13,電子工業,28,電子零組件業,配合新制重分類
2484,希華晶體,13,電子工業,28,電子零組件業,配合新制重分類
2492,華新科技,13,電子工業,28,電子零組件業,配合新制重分類
2493,揚博科技,13,電子工業,28,電子零組件業,配合新制重分類
3003,健和興端子,13,電子工業,28,電子零組件業,配合新制重分類
3011,今晧實業,13,電子工業,28,電子零組件業,配合新制重分類
3015,全漢企業,13,電子工業,28,電子零組件業,配合新制重分類
3023,信邦電子,13,電子工業,28,電子零組件業,配合新制重分類
3026,禾伸堂,13,電子工業,28,電子零組件業,配合新制重分類
3032,偉訓科技,13,電子工業,28,電子零組件業,配合新制重分類
3037,欣興電子,13,電子工業,28,電子零組件業,配合新制重分類
3042,台灣晶技,13,電子工業,28,電子零組件業,配合新制重分類
3044,健鼎科技,13,電子工業,28,電子零組件業,配合新制重分類
3058,立德電子,13,電子工業,28,電子零組件業,配合新制重分類
5469,瀚宇博德,13,電子工業,28,電子零組件業,配合新制重分類
6115,鎰勝工業,13,電子工業,28,電子零組件業,配合新制重分類
6133,金橋科技,13,電子工業,28,電子零組件業,配合新制重分類
6141,柏承科技,13,電子工業,28,電子零組件業,配合新制重分類
6155,鈞寶電子,13,電子工業,28,電子零組件業,配合新制重分類
6165,捷泰精密,13,電子工業,28,電子零組件業,配合新制重分類
6269,台郡科技,13,電子工業,28,電子零組件業,配合新制重分類
6282,康舒科技,13,電子工業,28,電子零組件業,配合新制重分類
8046,南亞電,13,電子工業,28,電子零組件業,配合新制重分類
8249,菱光科技,13,電子工業,28,電子零組件業,配合新制重分類
1435,中福振業,13,電子工業,29,電子通路業,配合新制重分類
2347,聯強國際,13,電子工業,29,電子通路業,配合新制重分類
2348,力廣科技,13,電子工業,29,電子通路業,配合新制重分類
2359,所羅門,13,電子工業,29,電子通路業,配合新制重分類
2403,友尚,13,電子工業,29,電子通路業,配合新制重分類
2414,精技電腦,13,電子工業,29,電子通路業,配合新制重分類
2430,燦坤實業,13,電子工業,29,電子通路業,配合新制重分類
2459,敦吉科技,13,電子工業,29,電子通路業,配合新制重分類
3010,華立企業,13,電子工業,29,電子通路業,配合新制重分類
3020,奇普仕,13,電子工業,29,電子通路業,配合新制重分類
3028,增你強,13,電子工業,29,電子通路業,配合新制重分類
3033,威健實業,13,電子工業,29,電子通路業,配合新制重分類
3036,文曄科技,13,電子工業,29,電子通路業,配合新制重分類
3040,遠見科技,13,電子工業,29,電子通路業,配合新制重分類
3048,益登科技,13,電子工業,29,電子通路業,配合新制重分類
3055,蔚華科技,13,電子工業,29,電子通路業,配合新制重分類
3315,宣昶,13,電子工業,29,電子通路業,配合新制重分類
3702,大聯大,13,電子工業,29,電子通路業,配合新制重分類
5434,崇越科技,13,電子工業,29,電子通路業,配合新制重分類
6119,大傳企業,13,電子工業,29,電子通路業,配合新制重分類
6189,豐藝電子,13,電子工業,29,電子通路業,配合新制重分類
6281,全國電子,13,電子工業,29,電子通路業,配合新制重分類
2427,三商電腦,13,電子工業,30,資訊服務業,配合新制重分類
2447,鼎新電腦,13,電子工業,30,資訊服務業,配合新制重分類
2453,凌群電腦,13,電子工業,30,資訊服務業,配合新制重分類
2468,華經資訊,13,電子工業,30,資訊服務業,配合新制重分類
2471,資通電腦,13,電子工業,30,資訊服務業,配合新制重分類
2480,敦陽科技,13,電子工業,30,資訊服務業,配合新制重分類
3021,衛道科技,13,電子工業,30,資訊服務業,配合新制重分類
3029,零壹科技,13,電子工業,30,資訊服務業,配合新制重分類
3356,奇偶科技,13,電子工業,30,資訊服務業,配合新制重分類
5203,訊連科技,13,電子工業,30,資訊服務業,配合新制重分類
3130,一零四,20,其他,30,資訊服務業,配合新制重分類
2312,金寶電子,13,電子工業,31,其他電子業,配合新制重分類
2317,鴻海精密,13,電子工業,31,其他電子業,配合新制重分類
2350,環隆電氣,13,電子工業,31,其他電子業,配合新制重分類
2354,鴻準精密,13,電子工業,31,其他電子業,配合新制重分類
2360,致茂電子,13,電子工業,31,其他電子業,配合新制重分類
2371,大同,13,電子工業,31,其他電子業,配合新制重分類
2373,震旦行,13,電子工業,31,其他電子業,配合新制重分類
2390,云辰電子,13,電子工業,31,其他電子業,配合新制重分類
2404,漢唐集成,13,電子工業,31,其他電子業,配合新制重分類
2411,飛瑞,13,電子工業,31,其他電子業,配合新制重分類
2418,雅新實業,13,電子工業,31,其他電子業,配合新制重分類
2423,固緯電子,13,電子工業,31,其他電子業,配合新制重分類
2433,互盛,13,電子工業,31,其他電子業,配合新制重分類
2461,光群科技,13,電子工業,31,其他電子業,配合新制重分類
2464,盟立自動化,13,電子工業,31,其他電子業,配合新制重分類
2477,美隆工業,13,電子工業,31,其他電子業,配合新制重分類
2482,連宇,13,電子工業,31,其他電子業,配合新制重分類
2488,漢平電子,13,電子工業,31,其他電子業,配合新制重分類
2495,普安科技,13,電子工業,31,其他電子業,配合新制重分類
2497,怡利電子,13,電子工業,31,其他電子業,配合新制重分類
3004,宏達科技,13,電子工業,31,其他電子業,配合新制重分類
3018,同開科技,13,電子工業,31,其他電子業,配合新制重分類
3030,德律科技,13,電子工業,31,其他電子業,配合新制重分類
3043,科風,13,電子工業,31,其他電子業,配合新制重分類
3052,夆典科技,13,電子工業,31,其他電子業,配合新制重分類
3053,鼎營科技,13,電子工業,31,其他電子業,配合新制重分類
3367,英華達,13,電子工業,31,其他電子業,配合新制重分類
3450,聯鈞光電,13,電子工業,31,其他電子業,配合新制重分類
6139,亞翔工程,13,電子工業,31,其他電子業,配合新制重分類
6192,巨路國際,13,電子工業,31,其他電子業,配合新制重分類
6196,帆宣系統,13,電子工業,31,其他電子業,配合新制重分類
6197,佳必琪,13,電子工業,31,其他電子業,配合新制重分類
,,,,,,
,上市公司九十六年度產業類別調整家數共計352家，包括重新調整改類7家及配合新制重分類345家。,,,,,
